kpi_date,visitor_id,segment_name,evidence
2015-06-16,15316,cart_abandoner_today,"last_cart_ts=2015-06-16 03:57:46.735, cart_events=1"
2015-06-16,56238,cart_abandoner_today,"last_cart_ts=2015-06-16 00:59:52.168, cart_events=1"
2015-06-16,61228,cart_abandoner_today,"last_cart_ts=2015-06-16 04:54:31.317, cart_events=1"
2015-06-16,116616,cart_abandoner_today,"last_cart_ts=2015-06-16 01:35:34.243, cart_events=1"
2015-06-16,120311,cart_abandoner_today,"last_cart_ts=2015-06-16 03:30:10.044, cart_events=1"
2015-06-16,121077,cart_abandoner_today,"last_cart_ts=2015-06-16 02:09:01.199, cart_events=2"
2015-06-16,147145,cart_abandoner_today,"last_cart_ts=2015-06-16 00:26:24.461, cart_events=1"
2015-06-16,167815,cart_abandoner_today,"last_cart_ts=2015-06-16 03:03:00.879, cart_events=1"
2015-06-16,183983,cart_abandoner_today,"last_cart_ts=2015-06-16 01:46:04.987, cart_events=2"
2015-06-16,184011,cart_abandoner_today,"last_cart_ts=2015-06-16 01:42:16.982, cart_events=1"
2015-06-16,188670,cart_abandoner_today,"last_cart_ts=2015-06-16 00:36:49.788, cart_events=1"
2015-06-16,204263,cart_abandoner_today,"last_cart_ts=2015-06-16 03:58:41.135, cart_events=1"
2015-06-16,206371,cart_abandoner_today,"last_cart_ts=2015-06-16 00:53:26.502, cart_events=1"
2015-06-16,212223,cart_abandoner_today,"last_cart_ts=2015-06-16 00:00:54.668, cart_events=1"
2015-06-16,229190,cart_abandoner_today,"last_cart_ts=2015-06-16 00:27:55.95, cart_events=1"
2015-06-16,231554,cart_abandoner_today,"last_cart_ts=2015-06-16 03:40:31.492, cart_events=1"
2015-06-16,255859,cart_abandoner_today,"last_cart_ts=2015-06-16 02:39:57.689, cart_events=4"
2015-06-16,264346,cart_abandoner_today,"last_cart_ts=2015-06-16 03:50:08.277, cart_events=1"
2015-06-16,294534,cart_abandoner_today,"last_cart_ts=2015-06-16 01:41:28.253, cart_events=1"
2015-06-16,321194,cart_abandoner_today,"last_cart_ts=2015-06-16 02:49:24.806, cart_events=1"
2015-06-16,331322,cart_abandoner_today,"last_cart_ts=2015-06-16 04:56:43.494, cart_events=2"
2015-06-16,334322,cart_abandoner_today,"last_cart_ts=2015-06-16 05:23:50.921, cart_events=1"
2015-06-16,334396,cart_abandoner_today,"last_cart_ts=2015-06-16 05:13:49.043, cart_events=2"
2015-06-16,340467,cart_abandoner_today,"last_cart_ts=2015-06-16 00:25:57.706, cart_events=1"
2015-06-16,349536,cart_abandoner_today,"last_cart_ts=2015-06-16 00:48:31.784, cart_events=1"
2015-06-16,402541,cart_abandoner_today,"last_cart_ts=2015-06-16 02:22:26.573, cart_events=1"
2015-06-16,440183,cart_abandoner_today,"last_cart_ts=2015-06-16 04:34:46.418, cart_events=1"
2015-06-16,454702,cart_abandoner_today,"last_cart_ts=2015-06-16 05:55:14.514, cart_events=3"
2015-06-16,483205,cart_abandoner_today,"last_cart_ts=2015-06-16 01:38:03.523, cart_events=1"
2015-06-16,486566,cart_abandoner_today,"last_cart_ts=2015-06-16 00:19:36.027, cart_events=1"
2015-06-16,501451,cart_abandoner_today,"last_cart_ts=2015-06-16 05:34:08.571, cart_events=1"
2015-06-16,513529,cart_abandoner_today,"last_cart_ts=2015-06-16 01:04:36.185, cart_events=1"
2015-06-16,551365,cart_abandoner_today,"last_cart_ts=2015-06-16 04:28:13.514, cart_events=1"
